Team,Number,Unit,Min,Off,Offensive Rating,Def,Defensive Rating,Net ,PlusMinus,W,L,WinPerc
GSW,17, Curry  Jack  Thompson  Lee  Biedrins,41.6,0.97,97,1.12,112,-15,18,7,8,46.6
GSW,18, Jack  Jefferson  Green  Landry  Biedrins,39.6,0.97,97,1.17,117,-20,9,3,7,30
GSW,19, Curry  Jack  Jefferson  Green  Landry,37.4,1.15,115,1.16,116,-1,4,7,4,63.6
GSW,20, Jack  Thompson  Green  Landry  Lee,34.8,1.03,103,1.18,118,-15,12,4,8,33.3
HOU,1, Lin  Harden  Parsons  Patterson  Asik,565.7,1.08,108,1.08,108,0,1,17,18,48.5
HOU,2, Lin  Harden  Parsons  Morris  Asik,332.2,1.03,103,0.98,98,5,32,17,17,50
HOU,3, Lin  Harden  Parsons  Motiejunas  Asik,222.2,1.14,114,1.05,105,9,41,9,7,56.2
HOU,4, Lin  Harden  Delfino  Parsons  Asik,205,1.12,112,1.07,107,5,23,14,13,51.8
HOU,5, Lin  Harden  Delfino  Parsons  Smith,81.5,1.23,123,1.11,111,12,25,11,8,57.8
HOU,6, Lin  Harden  Parsons  Smith  Asik,80.8,1.13,113,0.98,98,15,22,4,2,66.6
HOU,7, Lin  Harden  Garcia  Smith  Asik,68.7,1.13,113,1.2,120,-7,10,2,2,50
HOU,8, Lin  Harden  Delfino  Parsons  Patterson,54.1,1.21,121,1.01,101,20,22,9,4,69.2
HOU,9, Douglas  Delfino  Parsons  Morris  Smith,53.5,1.51,151,1.06,106,45,40,10,3,76.9
HOU,10, Lin  Harden  Delfino  Morris  Asik,47.3,1.1,110,1.02,102,8,7,6,9,40
HOU,11, Douglas  Harden  Delfino  Patterson  Smith,46.3,1.39,139,1.01,101,38,41,10,3,76.9
HOU,12, Lin  Harden  Delfino  Patterson  Asik,45.6,1.12,112,0.98,98,14,12,7,5,58.3
HOU,13, Douglas  Harden  Parsons  Morris  Asik,45.3,0.91,91,1.07,107,-16,10,4,7,36.3
HOU,14, Douglas  Harden  Delfino  Morris  Smith,45.2,1.17,117,1.16,116,1,3,7,6,53.8
HOU,15, Beverley  Harden  Delfino  Parsons  Asik,42.6,1.17,117,0.98,98,19,18,8,3,72.7
